,precision,recall,f1-score,support
H,0.984466286342704,0.9843309738162326,0.9843986254295533,29102.0
E,0.9682090364725096,0.9516318887105404,0.9598488936859148,18690.0
C,0.9644333707526764,0.9730655542970801,0.9687302329418883,36199.0
accuracy,0.9721994023169149,0.9721994023169149,0.9721994023169149,0.9721994023169149
macro avg,0.97236956452263,0.9696761389412843,0.9709925840191188,83991.0
weighted avg,0.9722147413972057,0.9721994023169149,0.972182856764463,83991.0
