,precision,recall,f1-score,support
H,0.9711774679076849,0.9644697958903168,0.967812009723635,29102.0
E,0.9275659499002439,0.895505617977528,0.9112538792399412,18690.0
C,0.9247152189170221,0.9463521091742866,0.935408560311284,36199.0
accuracy,0.9413151409079544,0.9413151409079544,0.9413151409079544,0.9413151409079544
macro avg,0.941152878908317,0.9354425076807105,0.9381581497582868,83991.0
weighted avg,0.9414482561734269,0.9413151409079544,0.9412610230224654,83991.0
